Gate Self aligned,Channel direction,Lg (nm),Wns/Dnw (nm),SS (mV/dec),Ion (A/um),Vov
1,1,55,18,62.0,2.3e-07,0.45
0,1,200,70,70.0,1e-05,1.2
0,1,170,40,50.0,1e-08,1.2
1,0,180,5,63.0,0.0008,0.6
1,0,200,7,30.0,2e-06,0.5
1,0,250,8,62.0,7e-06,0.5
1,0,50,10,76.0,1.5e-05,0.45
1,1,33,10,140.0,0.0001,1.0
1,0,80,15,62.0,1e-06,0.6
1,0,80,35,62.0,1e-06,0.6
1,0,50,8,84.0,1e-05,0.1
1,0,30,6,65.1,1e-06,0.9
1,0,16,3,69.2,0.0001,0.7
1,0,75,65,80.0,1e-06,0.65
0,1,80,100,145.0,1e-06,0.95
0,0,20,20,75.0,0.00085,0.05
0,0,50,20,90.0,5.3e-05,0.5
0,0,20,20,85.0,5.3e-05,0.5
0,0,80,20,63.0,0.00063,0.05
0,0,50,30,155.0,0.00072,0.05
0,0,90,30,150.0,0.00072,0.05
0,0,90,50,170.0,0.00072,0.05
0,0,50,50,180.0,0.00072,0.05
0,0,70,30,154.0,0.00072,0.05
0,0,70,50,172.0,0.00072,0.05
0,0,110,50,170.0,0.00072,0.05
0,0,110,30,150.0,0.00072,0.05
0,0,60,30,94.0,0.0006,0.5
0,0,100,60,110.0,0.0006,0.5
0,0,100,30,90.0,0.0006,0.5
0,0,75,30,95.0,0.0006,0.5
0,0,60,30,97.0,0.0006,0.5
0,0,60,30,66.0,0.0006,0.05
0,0,200,90,98.0,1e-06,0.5
0,0,200,90,90.0,1e-06,0.05
0,0,100,15,140.0,0.00125,0.5
0,0,100,15,93.0,0.00125,0.01
0,0,80,25,78.0,0.0005,0.05
0,0,70,30,78.0,0.00051,0.05
0,0,60,35,75.0,0.000525,0.05
0,0,50,25,75.0,0.000525,0.05
0,0,40,30,78.0,0.00053,0.05
0,0,40,35,82.0,0.00053,0.05
0,0,30,25,84.0,0.00052,0.05
0,0,30,30,78.0,0.00052,0.05
0,0,30,35,78.0,0.00052,0.05
0,0,20,25,85.0,0.00053,0.05
